"Date","Time","Temp","SpCond","DO Conc","DO Charge","DO%","Battery","Cond"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","%","V","mS/cm"
"05/31/10","19:56:40",25.35,0.198,9.08,41,110.7,6.3,0.200
"05/31/10","20:00:40",25.33,0.198,9.07,41,110.4,6.3,0.199
"05/31/10","20:04:40",25.33,0.198,9.05,41,110.2,6.2,0.199
"05/31/10","20:08:40",25.31,0.198,9.07,41,110.4,6.3,0.199
"05/31/10","20:12:40",25.29,0.198,9.03,41,109.9,6.2,0.199
"05/31/10","20:16:40",25.28,0.198,9.03,41,109.8,6.2,0.199
"05/31/10","20:20:40",25.26,0.198,9.05,41,110.1,6.3,0.199
"05/31/10","20:24:40",25.25,0.198,9.02,41,109.7,6.2,0.199
"05/31/10","20:28:40",25.23,0.198,9.05,41,110.1,6.2,0.199
"05/31/10","20:32:40",25.22,0.198,9.04,41,109.9,6.2,0.199
"05/31/10","20:36:40",25.21,0.198,9.09,41,110.4,6.2,0.199
"05/31/10","20:40:40",25.18,0.198,9.08,41,110.2,6.2,0.199
"05/31/10","20:44:40",25.16,0.198,9.10,41,110.6,6.2,0.199
"05/31/10","20:48:40",25.15,0.198,9.08,41,110.2,6.2,0.199
"05/31/10","20:52:40",25.13,0.198,9.09,41,110.3,6.1,0.199
"05/31/10","20:56:40",25.12,0.198,9.03,41,109.6,6.2,0.198
"05/31/10","21:00:40",25.10,0.198,9.07,41,109.9,6.2,0.198
"05/31/10","21:04:40",25.08,0.198,9.07,41,110.0,6.2,0.198
"05/31/10","21:08:40",25.07,0.198,9.09,41,110.2,6.2,0.198
"05/31/10","21:12:40",25.05,0.198,9.08,41,110.0,6.2,0.198
"05/31/10","21:16:40",25.02,0.198,9.08,41,110.0,6.2,0.198
"05/31/10","21:20:40",25.02,0.198,9.05,41,109.5,6.2,0.198
"05/31/10","21:24:40",25.02,0.198,9.02,41,109.2,6.2,0.198
"05/31/10","21:28:40",25.00,0.198,9.03,41,109.4,6.2,0.198
"05/31/10","21:32:40",24.98,0.198,9.03,41,109.3,6.2,0.198
"05/31/10","21:36:40",24.95,0.198,9.04,41,109.4,6.2,0.198
"05/31/10","21:40:40",24.94,0.198,9.05,41,109.4,6.2,0.198
"05/31/10","21:44:40",24.92,0.198,9.02,41,109.1,6.2,0.198
"05/31/10","21:48:40",24.90,0.198,8.99,41,108.6,6.2,0.198
"05/31/10","21:52:40",24.89,0.198,9.01,41,108.9,6.2,0.198
"05/31/10","21:56:40",24.87,0.198,9.01,41,108.8,6.2,0.198
"05/31/10","22:00:40",24.86,0.198,9.01,41,108.9,6.2,0.198
"05/31/10","22:04:40",24.85,0.198,9.01,41,108.7,6.2,0.198
"05/31/10","22:08:40",24.82,0.198,8.99,41,108.5,6.1,0.197
"05/31/10","22:12:40",24.82,0.198,9.00,41,108.6,6.2,0.197
"05/31/10","22:16:40",24.80,0.198,9.02,41,108.8,6.2,0.197
