Date,Time,Temp,Battery,DO Conc,DO%
M/D/Y,hh:mm:ss,C,V,mg/L,%
08/14/09,16:50,11.35,5.9,17.98,164.5
08/14/09,17:00,11.44,5.9,18.18,166.6
08/14/09,17:10,11.61,5.9,18.57,170.9
08/14/09,17:20,11.06,5.9,17.62,160.1
08/14/09,17:30,11.3,5.9,18.18,166.1
08/14/09,17:40,11.08,5.9,16.59,150.8
08/14/09,17:50,11.31,5.9,18.35,167.7
08/14/09,18:00,11.51,5.9,18.99,174.4
08/14/09,18:10,11.16,5.9,18.14,165.2
08/14/09,18:20,11.2,5.9,17.57,160.1
08/14/09,18:30,11.57,5.9,18.75,172.4
08/14/09,18:40,11.71,5.9,20.19,186.2
08/14/09,18:50,11.59,5.9,19.55,179.9
08/14/09,19:00,11.79,5.9,20.1,185.8
08/14/09,19:10,11.51,5.9,19.03,174.8
08/14/09,19:20,11.44,5.9,18.7,171.4
08/14/09,19:30,11.26,5.9,18.09,165.1
08/14/09,19:40,11.26,5.9,18.14,165.6
08/14/09,19:50,11.23,5.9,17.57,160.3
08/14/09,20:00,11.34,5.9,18.17,166.2
08/14/09,20:10,11.38,5.9,17.86,163.5
08/14/09,20:20,11.36,5.9,18.4,168.3
08/14/09,20:30,11.28,5.9,18.3,167.1
08/14/09,20:40,11.19,5.9,18.03,164.3
08/14/09,20:50,11.2,5.9,17.54,159.9
08/14/09,21:00,11.35,5.9,18.4,168.3
08/14/09,21:10,11.39,5.9,18.88,172.9
08/14/09,21:20,11.46,5.9,18.75,172
08/14/09,21:30,11.56,5.9,19.13,175.8
08/14/09,21:40,11.48,5.9,19.31,177.2
08/14/09,21:50,11.52,5.9,19.08,175.2
08/14/09,22:00,11.34,5.9,18.65,170.6
08/14/09,22:10,11.26,5.9,17.71,161.7
08/14/09,22:20,11.38,5.9,17.56,160.7
08/14/09,22:30,11.45,5.9,18.53,169.9
08/14/09,22:40,11.31,5.9,18.3,167.2
08/14/09,22:50,11.21,5.9,17.08,155.7
08/14/09,23:00,11.19,5.9,17.15,156.3
08/14/09,23:10,11.24,5.9,17.45,159.2
08/14/09,23:20,11.48,5.9,17.79,163.2
08/14/09,23:30,11.57,5.9,18.76,172.5
08/14/09,23:40,11.54,5.9,18.98,174.4
08/14/09,23:50,11.45,5.9,18.52,169.8
08/15/09,0:00,11.41,5.9,18.42,168.8
08/15/09,0:10,11.3,5.9,18.17,166
08/15/09,0:20,11.31,5.9,18.25,166.8
08/15/09,0:30,11.35,5.9,18.3,167.4
08/15/09,0:40,11.42,5.9,18.38,168.4
08/15/09,0:50,11.43,5.9,18.3,167.7
08/15/09,1:00,11.5,5.9,18.42,169.1
08/15/09,1:10,11.38,5.9,18.16,166.2
08/15/09,1:20,11.32,5.9,17.92,163.9
08/15/09,1:30,11.28,5.9,17.77,162.3
08/15/09,1:40,11.26,5.9,17.66,161.3
08/15/09,1:50,11.28,5.9,17.36,158.5
08/15/09,2:00,11.35,5.9,17.61,161.1
08/15/09,2:10,11.48,5.9,18.07,165.8
08/15/09,2:20,11.49,5.9,18.11,166.2
08/15/09,2:30,11.55,5.9,18.29,168.1
