Year,Day of Year,Time,Wind Speed (mph),Solar Radiation (W/m2)
2012,106,1900,0.6012688,5.908
2012,106,2000,1.92048384,0.492
2012,106,2100,2.33399584,0.164
2012,106,2200,1.6674592,0.164
2012,106,2300,0.28118816,0
2012,106,2400,1.70724576,0
2012,107,100,3.5182048,0
2012,107,200,3.9205408,0.492
2012,107,300,0.28118816,0
2012,107,400,0.28118816,0.575
2012,107,500,0.88111584,0
2012,107,600,0.28118816,0.328
2012,107,700,1.6406368,23.48
2012,107,800,2.84049216,11.99
2012,107,900,3.2142176,64.46
2012,107,1000,0.28118816,151.3
2012,107,1100,0.28118816,99.9
2012,107,1200,0.28118816,218.8
2012,107,1300,0.28118816,217
2012,107,1400,0.28118816,197.3
2012,107,1500,0.28118816,173.6
2012,107,1600,0.28118816,225.6
2012,107,1700,0.28118816,138.5
2012,107,1800,0.28118816,61.79
2012,107,1900,0.28118816,10.85
2012,107,2000,0.28118816,0.329
2012,107,2100,0.28118816,0.164
2012,107,2200,0.28118816,0.164
2012,107,2300,0.28118816,0.411
2012,107,2400,0.28118816,0.493
2012,108,100,0.28118816,0.164
2012,108,200,0.28118816,0.493
2012,108,300,0.28118816,0.411
2012,108,400,0.28118816,0.493
2012,108,500,0.28118816,0.329
2012,108,600,0.28118816,1.315
2012,108,700,0.28118816,55.56
2012,108,800,0.28118816,197.9
2012,108,900,1.77385472,483.3
2012,108,1000,0.28118816,617.1
2012,108,1100,0.28118816,266.6
2012,108,1200,2.000504,331.5
2012,108,1300,2.16054432,913
2012,108,1400,1.44080992,387.5
2012,108,1500,1.52083008,310.8
2012,108,1600,0.29459936,715
2012,108,1700,0.28118816,180.9
2012,108,1800,2.000504,62.89
2012,108,1900,0.28118816,41.38
2012,108,2000,0.28118816,0
2012,108,2100,0.28118816,0
2012,108,2200,0.28118816,0.329
2012,108,2300,0.28118816,0
2012,108,2400,0.28118816,0
2012,109,100,2.09393536,0.329
2012,109,200,0.28118816,0
2012,109,300,0.28118816,0
2012,109,400,0.97410016,0.329
2012,109,500,3.4913824,0.082
2012,109,600,2.49403616,0
2012,109,700,2.88027872,2.135
2012,109,800,3.1605728,18.23
2012,109,900,4.8548544,33.01
2012,109,1000,3.24104,62.09
2012,109,1100,4.5463968,74.6
2012,109,1200,3.05373024,53.37
2012,109,1300,7.3851008,97.5
2012,109,1400,6.1468,187.7
2012,109,1500,2.54723392,185.2
2012,109,1600,2.14713312,192.3
2012,109,1700,3.4556192,92.1
2012,109,1800,1.88069728,82.1
2012,109,1900,0.28118816,17.07
2012,109,2000,2.34740704,0
2012,109,2100,4.5732192,0
2012,109,2200,3.531616,0
2012,109,2300,0.28118816,0
2012,109,2400,0.28118816,0
2012,110,100,0.28118816,0
2012,110,200,0.28118816,0
2012,110,300,0.28118816,0
2012,110,400,0.28118816,0
2012,110,500,0.28118816,0
2012,110,600,0.28118816,1.725
2012,110,700,0.28118816,23.99
2012,110,800,0.28118816,68.84
2012,110,900,0.28118816,159.5
2012,110,1000,1.40102336,143.4
2012,110,1100,1.41398752,273
2012,110,1200,0.28118816,602.8
2012,110,1300,0.76086208,926
2012,110,1400,0.28118816,340.9
2012,110,1500,0.77427328,481.3
2012,110,1600,1.24098304,137.6
2012,110,1700,0.70766432,91.3
2012,110,1800,0.28118816,26.44
2012,110,1900,1.93389504,11.99
2012,110,2000,2.26738688,0
2012,110,2100,1.57402784,0
2012,110,2200,0.28118816,0
2012,110,2300,1.654048,0
2012,110,2400,2.17395552,0
2012,111,100,0.28118816,0
2012,111,200,1.06753152,0
2012,111,300,1.82749952,0
2012,111,400,2.80025856,0
2012,111,500,2.16054432,0
2012,111,600,0.9074912,1.725
2012,111,700,2.7872944,50.11
2012,111,800,0.28118816,104.3
2012,111,900,2.88027872,329.1
2012,111,1000,3.4556192,687.5
2012,111,1100,0.28118816,167.1
2012,111,1200,0.68084192,379.2
2012,111,1300,3.6925504,632.2
2012,111,1400,2.93392352,826
2012,111,1500,4.068064,736
2012,111,1600,2.14713312,628.1
2012,111,1700,1.20074944,468.2
2012,111,1800,3.04031904,45.97
2012,111,1900,0.66787776,26.76
2012,111,2000,0.28118816,0
2012,111,2100,0.28118816,0
2012,111,2200,0.28118816,0
2012,111,2300,0.28118816,0
2012,111,2400,0.28118816,0.164
2012,112,100,0.28118816,0.822
2012,112,200,0.28118816,0.657
2012,112,300,0.28118816,0.164
2012,112,400,0.28118816,0.164
2012,112,500,0.28118816,0.164
2012,112,600,0.28118816,4.93
2012,112,700,0.28118816,49.96
2012,112,800,0.28118816,98.9
2012,112,900,0.28118816,370.6
2012,112,1000,0.28118816,615
2012,112,1100,0.28118816,716
