Year,Day of Year,Time,Wind Speed (mph),Solar Radiation (W/m2)
2012,104,1400,8.35,450.1
2012,104,1500,2.985,199.2
2012,104,1600,7.84,217.4
2012,104,1700,1.583,85.8
2012,104,1800,10.32,48.25
2012,104,1900,7.19,21.33
2012,104,2000,6.682,0
2012,104,2100,11.57,0
2012,104,2200,5.638,0
2012,104,2300,5.698,0
2012,104,2400,8.77,0
2012,105,100,7.7,0
2012,105,200,8.44,0
2012,105,300,5.966,0.328
2012,105,400,6.563,0
2012,105,500,6.026,0
2012,105,600,6.056,0.328
2012,105,700,3.968,48.6
2012,105,800,10.8,263.8
2012,105,900,2.179,181.5
2012,105,1000,5.251,599.6
2012,105,1100,8.08,722
2012,105,1200,12.44,822
2012,105,1300,8.26,293
2012,105,1400,14.29,849
2012,105,1500,14.11,699.7
2012,105,1600,11.27,591.3
2012,105,1700,10.23,426.8
2012,105,1800,2.627,63.97
2012,105,1900,6.324,32.8
2012,105,2000,0.629,0
2012,105,2100,0.629,0.164
2012,105,2200,0.629,0.082
2012,105,2300,0.629,0
2012,105,2400,0.629,0
2012,106,100,0.629,0
2012,106,200,0.629,0.246
2012,106,300,0.987,0
2012,106,400,3.253,0
2012,106,500,0.629,0
2012,106,600,0.629,0
2012,106,700,0.629,16.75
2012,106,800,2.567,102.3
2012,106,900,4.833,187.2
2012,106,1000,0.629,86.8
2012,106,1100,0.629,132
2012,106,1200,0.659,111.3
2012,106,1300,1.046,110.6
2012,106,1400,0.629,92
2012,106,1500,1.851,64.01
2012,106,1600,4.296,73.5
2012,106,1700,4.416,75.5
2012,106,1800,0.629,34.46
2012,106,1900,1.345,5.908
2012,106,2000,4.296,0.492
2012,106,2100,5.221,0.164
2012,106,2200,3.73,0.164
2012,106,2300,0.629,0
2012,106,2400,3.819,0
2012,107,100,7.87,0
2012,107,200,8.77,0.492
2012,107,300,0.629,0
2012,107,400,0.629,0.575
2012,107,500,1.971,0
2012,107,600,0.629,0.328
2012,107,700,3.67,23.48
2012,107,800,6.354,11.99
2012,107,900,7.19,64.46
2012,107,1000,0.629,151.3
2012,107,1100,0.629,99.9
2012,107,1200,0.629,218.8
2012,107,1300,0.629,217
2012,107,1400,0.629,197.3
2012,107,1500,0.629,173.6
2012,107,1600,0.629,225.6
2012,107,1700,0.629,138.5
2012,107,1800,0.629,61.79
2012,107,1900,0.629,10.85
2012,107,2000,0.629,0.329
2012,107,2100,0.629,0.164
2012,107,2200,0.629,0.164
2012,107,2300,0.629,0.411
2012,107,2400,0.629,0.493
2012,108,100,0.629,0.164
2012,108,200,0.629,0.493
2012,108,300,0.629,0.411
2012,108,400,0.629,0.493
2012,108,500,0.629,0.329
2012,108,600,0.629,1.315
2012,108,700,0.629,55.56
2012,108,800,0.629,197.9
2012,108,900,3.968,483.3
2012,108,1000,0.629,617.1
2012,108,1100,0.629,266.6
2012,108,1200,4.475,331.5
2012,108,1300,4.833,913
2012,108,1400,3.223,387.5
2012,108,1500,3.402,310.8
2012,108,1600,0.659,715
2012,108,1700,0.629,180.9
2012,108,1800,4.475,62.89
2012,108,1900,0.629,41.38
2012,108,2000,0.629,0
2012,108,2100,0.629,0
2012,108,2200,0.629,0.329
2012,108,2300,0.629,0
2012,108,2400,0.629,0
2012,109,100,4.684,0.329
2012,109,200,0.629,0
2012,109,300,0.629,0
2012,109,400,2.179,0.329
2012,109,500,7.81,0.082
2012,109,600,5.579,0
2012,109,700,6.443,2.135
2012,109,800,7.07,18.23
2012,109,900,10.86,33.01
2012,109,1000,7.25,62.09
2012,109,1100,10.17,74.6
2012,109,1200,6.831,53.37
2012,109,1300,16.52,97.5
2012,109,1400,13.75,187.7
2012,109,1500,5.698,185.2
2012,109,1600,4.803,192.3
2012,109,1700,7.73,92.1
2012,109,1800,4.207,82.1
2012,109,1900,0.629,17.07
2012,109,2000,5.251,0
2012,109,2100,10.23,0
2012,109,2200,7.9,0
2012,109,2300,0.629,0
2012,109,2400,0.629,0
2012,110,100,0.629,0
2012,110,200,0.629,0
2012,110,300,0.629,0
2012,110,400,0.629,0
2012,110,500,0.629,0
2012,110,600,0.629,1.725
2012,110,700,0.629,23.99
2012,110,800,0.629,68.84
2012,110,900,0.629,159.5
2012,110,1000,3.134,143.4
2012,110,1100,3.163,273
2012,110,1200,0.629,602.8
2012,110,1300,1.702,926
2012,110,1400,0.629,340.9
2012,110,1500,1.732,481.3
2012,110,1600,2.776,137.6
2012,110,1700,1.583,91.3
2012,110,1800,0.629,26.44
2012,110,1900,4.326,11.99
2012,110,2000,5.072,0
2012,110,2100,3.521,0
2012,110,2200,0.629,0
2012,110,2300,3.7,0
2012,110,2400,4.863,0
2012,111,100,0.629,0
2012,111,200,2.388,0
2012,111,300,4.088,0
2012,111,400,6.264,0
2012,111,500,4.833,0
2012,111,600,2.03,1.725
2012,111,700,6.235,50.11
2012,111,800,0.629,104.3
2012,111,900,6.443,329.1
2012,111,1000,7.73,687.5
2012,111,1100,0.629,167.1
2012,111,1200,1.523,379.2
2012,111,1300,8.26,632.2
2012,111,1400,6.563,826
2012,111,1500,9.1,736
2012,111,1600,4.803,628.1
2012,111,1700,2.686,468.2
2012,111,1800,6.801,45.97
2012,111,1900,1.494,26.76
2012,111,2000,0.629,0
2012,111,2100,0.629,0
2012,111,2200,0.629,0
2012,111,2300,0.629,0
2012,111,2400,0.629,0.164
2012,112,100,0.629,0.822
2012,112,200,0.629,0.657
2012,112,300,0.629,0.164
2012,112,400,0.629,0.164
2012,112,500,0.629,0.164
2012,112,600,0.629,4.93
2012,112,700,0.629,49.96
2012,112,800,0.629,98.9
2012,112,900,0.629,370.6
2012,112,1000,0.629,615
2012,112,1100,0.629,716
2012,112,1200,0.629,775
2012,112,1300,0.629,815
2012,112,1400,4.863,885
2012,112,1500,0.868,868
2012,112,1600,0.629,289.5
2012,112,1700,0.629,183.8
2012,112,1800,0.629,95.2
2012,112,1900,0.629,34.47
2012,112,2000,0.629,0
2012,112,2100,0.629,0
2012,112,2200,0.629,0
2012,112,2300,0.629,0
2012,112,2400,0.629,0
2012,113,100,4.475,0
2012,113,200,0.629,0
2012,113,300,0.629,0
2012,113,400,0.629,0
2012,113,500,0.629,0
2012,113,600,0.629,4.436
2012,113,700,0.629,56.85
2012,113,800,0.629,101.7
2012,113,900,0.629,181.8
2012,113,1000,0.629,511.2
2012,113,1100,0.629,598.1
2012,113,1200,0.629,794
2012,113,1300,3.074,843
2012,113,1400,0.629,732
2012,113,1500,0.629,354.6
2012,113,1600,0.629,690.8
2012,113,1700,4.267,171
2012,113,1800,6.264,83.4
2012,113,1900,4.326,33.82
2012,113,2000,3.909,0
2012,113,2100,0.629,0.985
2012,113,2200,1.971,0
2012,113,2300,2.418,0
2012,113,2400,0.629,0
2012,114,100,0.629,0
2012,114,200,0.629,0
2012,114,300,0.629,0
2012,114,400,0.629,0
2012,114,500,2.12,0
2012,114,600,0.629,5.259
2012,114,700,0.629,47.74
2012,114,800,0.629,130
2012,114,900,3.253,438.6
2012,114,1000,10.92,673.3
2012,114,1100,0.629,796
2012,114,1200,0.629,873
2012,114,1300,7.01,892
2012,114,1400,9.66,844
2012,114,1500,5.221,728
2012,114,1600,5.131,629.2
2012,114,1700,5.072,438.9
2012,114,1800,5.34,54.5
2012,114,1900,1.673,33.16
2012,114,2000,0.629,0
2012,114,2100,1.225,0
2012,114,2200,0.629,0
2012,114,2300,0.629,0
2012,114,2400,0.629,0
2012,115,100,0.629,0.164
2012,115,200,0.629,0.329
2012,115,300,0.629,0.821
2012,115,400,0.629,0.986
2012,115,500,0.629,0.657
2012,115,600,0.629,8.54
2012,115,700,0.629,49.45
2012,115,800,3.491,159.8
2012,115,900,1.643,414.8
2012,115,1000,8.41,652.9
2012,115,1100,5.4,781
2012,115,1200,7.13,877
2012,115,1300,9.96,1006
2012,115,1400,5.459,857
2012,115,1500,7.04,181
2012,115,1600,3.879,279.9
2012,115,1700,7.31,453.3
2012,115,1800,2.418,135.5
2012,115,1900,0.987,55.14
2012,115,2000,0.629,0.41
2012,115,2100,0.629,0
2012,115,2200,0.629,0
2012,115,2300,0.629,0.328
2012,115,2400,0.629,1.806
2012,116,100,0.629,0
2012,116,200,0.629,0.328
2012,116,300,0.629,1.15
2012,116,400,0.629,0.821
2012,116,500,0.629,0.246
2012,116,600,0.629,4.435
2012,116,700,0.629,55.02
2012,116,800,0.629,147.1
2012,116,900,0.629,124
2012,116,1000,0.629,313.3
2012,116,1100,2.269,105.7
2012,116,1200,0.629,133
2012,116,1300,0.629,106.7
2012,116,1400,3.521,360.5
2012,116,1500,4.923,115
2012,116,1600,3.014,121
2012,116,1700,4.624,208.5
2012,116,1800,6.324,79
2012,116,1900,0.629,7.39
2012,116,2000,0.629,0.657
2012,116,2100,0.629,0
2012,116,2200,0.629,0
2012,116,2300,5.042,0
2012,116,2400,3.7,0
2012,117,100,1.673,0
2012,117,200,3.67,0
2012,117,300,11.78,0
2012,117,400,3.104,0
2012,117,500,7.55,0
2012,117,600,8.56,7.39
2012,117,700,7.52,74.4
2012,117,800,8.95,63.58
2012,117,900,7.58,123.1
2012,117,1000,8.53,180.1
2012,117,1100,3.879,365.2
2012,117,1200,6.205,1034
2012,117,1300,6.384,975
2012,117,1400,2.627,857
2012,117,1500,1.225,759
2012,117,1600,9.63,636.3
2012,117,1700,5.429,493
2012,117,1800,1.583,52.71
2012,117,1900,0.629,33.34
2012,117,2000,0.629,0
2012,117,2100,0.629,0.329
2012,117,2200,0.629,0.821
2012,117,2300,0.629,1.807
2012,117,2400,0.629,0.822
2012,118,100,0.629,0.164
2012,118,200,0.629,0.164
2012,118,300,0.629,0.493
2012,118,400,0.629,0
2012,118,500,0.629,0.493
2012,118,600,0.629,8.88
2012,118,700,0.629,43.39
2012,118,800,0.629,151.2
2012,118,900,0.629,464.1
2012,118,1000,0.629,681.3
2012,118,1100,0.629,780
2012,118,1200,0.629,831
2012,118,1300,0.629,904
2012,118,1400,0.629,889
2012,118,1500,0.629,447.7
2012,118,1600,3.939,657.9
2012,118,1700,5.579,352.9
2012,118,1800,6.235,153.6
2012,118,1900,3.372,51.71
2012,118,2000,0.629,0
2012,118,2100,4.267,0
2012,118,2200,0.629,0
2012,118,2300,0.629,0
2012,118,2400,0.629,0
2012,119,100,4.446,0
2012,119,200,3.134,0
2012,119,300,0.629,0
2012,119,400,2.567,0
2012,119,500,0.629,0
2012,119,600,5.936,6.407
2012,119,700,0.629,65.06
2012,119,800,0.629,144.4
2012,119,900,5.698,303.1
2012,119,1000,4.356,446.8
2012,119,1100,0.629,442.7
2012,119,1200,6.801,617.7
2012,119,1300,0.629,740
2012,119,1400,0.629,697.9
2012,119,1500,0.629,564.6
2012,119,1600,0.629,340.6
2012,119,1700,0.629,194.4
2012,119,1800,0.629,110
2012,119,1900,0.629,47.94
2012,119,2000,0.629,0.493
2012,119,2100,0.629,0
2012,119,2200,0.629,0
2012,119,2300,0.629,0
2012,119,2400,0.629,0.329
2012,120,100,0.629,1.479
2012,120,200,0.629,0
2012,120,300,0.629,0
2012,120,400,0.629,0
2012,120,500,0.629,0.164
2012,120,600,0.629,9.2
2012,120,700,0.629,57.76
2012,120,800,0.629,240.3
