SampleID,Year,Lake,Habitat,Site,Depth,Week,Date,Type,Taxon,Trophic,Length,Weight,Tissue,GutID,FishID,d15N,d13C,dD,AnalyzedForBatt2012,Notes
F-1055,2010,Ward,All,B,NA,3,22-Jul-10,Fish,CMM,3,93,10.65,Whole,G-0787,NA,5.95,-30.73,-161.4,No
F-1064,2010,Ward,All,B,NA,4,18-Aug-10,Fish,YWP,3,NA,NA,Whole,NA,NA,6,-30.56,-160.1,Yes
F-1065,2010,Ward,All,B,NA,4,18-Aug-10,Fish,BHD1,2,64,4,Whole,G-0779,NA,3.95,-26.97,-159.1,No
F-1066,2010,Ward,All,B,NA,4,18-Aug-10,Fish,PKS,2,NA,NA,Whole,NA,NA,4.05,-27.76,-170.1,Yes
F-1071,2010,Ward,All,B,NA,4,18-Aug-10,Fish,BHD1,2,60,3,Whole,G-0794,NA,4.09,-27.21,-156.6,No
F-1072,2010,Ward,All,B,NA,4,18-Aug-10,Fish,BHD1,2,51,1.9,Whole,G-0795,NA,4.31,-28.69,-168,No
F-1073,2010,Ward,All,B,NA,4,18-Aug-10,Fish,BHD1,2,55,2.3,Whole,G-0796,NA,4.14,-27.99,-165.9,No
F-1074,2010,Ward,All,B,NA,4,18-Aug-10,Fish,BHD1,2,52,2.2,Whole,G-0797,NA,4.25,-29.08,-180.5,No
F-1075,2010,Ward,All,C,NA,4,18-Aug-10,Fish,YWP,3,NA,NA,Whole,NA,NA,4.68,-26.49,-156.2,Yes
F-1076,2010,Ward,All,C,NA,4,18-Aug-10,Fish,PKS,2,NA,NA,Whole,NA,NA,4.72,-28.28,-160,Yes
F-1079,2010,Ward,All,E,NA,4,18-Aug-10,Fish,YWP,3,NA,NA,Whole,NA,NA,5.06,-27.55,-161,Yes
F-1080,2010,Ward,All,E,NA,4,18-Aug-10,Fish,PKS,2,NA,NA,Whole,NA,NA,5.8,-30.7,-160.6,Yes
F-1081,2010,Ward,All,E,NA,4,18-Aug-10,Fish,BHD1,2,61,3.1,Whole,G-0804,NA,3.85,-27.86,-169,No
F-1083,2010,Ward,All,X,NA,4,18-Aug-10,Fish,CMM,2,86,6.8,Whole,G-0771,NA,7.47,-30.41,-134.4,No
F-1084,2010,Ward,All,X,NA,4,18-Aug-10,Fish,BHD1,2,63,3.8,Whole,G-0744,NA,3.84,-27.46,-158.4,No
F-1095,2012,Ward,All,C,NA,2,20-Jun-12,Fish,DAC,2,57,1.7,Whole,NA,NA,5.77,-29.03,-184.5,No
F-1123,2012,Ward,All,C,NA,2,20-Jun-12,Fish,FHM,2,81,6.3,Whole,NA,NA,2.75,-33.61,-207.4,No
F-1124,2012,Ward,All,C,NA,2,20-Jun-12,Fish,FHM,2,NA,NA,Guts,NA,F-1123,2.2,-36.71,-245.3,No
F-1131,2012,Ward,All,C,NA,2,20-Jun-12,Fish,CMM,2,57,1.9,Whole,NA,NA,5.28,-33.51,-179.2,No
F-1133,2012,Ward,All,C,NA,2,20-Jun-12,Fish,BHD2,3,95,12.8,Whole,NA,NA,4.7,-32.21,-170.1,No
F-1143,2012,Ward,All,B,NA,2,20-Jun-12,Fish,DAC,2,47,1.1,Whole,NA,NA,5.57,-31.16,-168.6,No
F-1161,2012,Ward,All,B,NA,2,20-Jun-12,Fish,CMM,2,53,1.6,Whole,NA,NA,5.37,-34.04,-155,No
F-1163,2012,Ward,All,B,NA,2,20-Jun-12,Fish,DAC,2,57,1.7,Whole,NA,NA,6.13,-30.44,-162.8,No
F-1173,2012,Ward,All,B,NA,2,20-Jun-12,Fish,DAC,2,49,1,Whole,NA,NA,6.2,-34.03,-191.5,No
F-1177,2012,Ward,All,B,NA,2,20-Jun-12,Fish,BHD2,3,104,13.1,Whole,NA,NA,5.34,-31.83,-153.1,No
F-1185,2012,Ward,All,C,NA,2,20-Jun-12,Fish,CMM,2,63,2.6,Whole,NA,NA,4.96,-32.66,-172.5,No
F-1189,2012,Ward,All,A,NA,2,20-Jun-12,Fish,CMM,2,87,5.5,Whole,NA,NA,5.06,-30.24,-126.6,No
F-1205,2012,Ward,All,A,NA,2,20-Jun-12,Fish,FHM,2,82,7.3,Whole,NA,NA,4.88,-32.19,-193.5,No
F-1206,2012,Ward,All,A,NA,2,20-Jun-12,Fish,FHM,2,NA,NA,Guts,NA,F-1205,5.1,-32.83,-205.7,No
F-1209,2012,Ward,All,A,NA,2,20-Jun-12,Fish,CMM,2,87,7.2,Whole,NA,NA,4.97,-29.47,-161.7,No
F-1229,2012,Ward,All,A,NA,2,20-Jun-12,Fish,FHM,2,87,7,Whole,NA,NA,5.63,-32.24,-175.3,No
F-1233,2012,Ward,All,B,NA,2,20-Jun-12,Fish,PKS,2,81,10.9,Whole,NA,NA,4.92,-33.65,-189.9,No
F-1240,2012,Ward,All,A,NA,3,17-Jul-12,Fish,BHD2,3,126,23,Whole,NA,NA,5.21,-24.56,-160.9,No
F-1242,2012,Ward,All,A,NA,3,17-Jul-12,Fish,BHD2,3,140,35.4,Whole,NA,NA,5.33,-26.12,-154.5,No
F-1244,2012,Ward,All,A,NA,3,17-Jul-12,Fish,BHD2,3,147,35.1,Whole,NA,NA,6.21,-30.39,-156,No
F-1246,2012,Ward,All,A,NA,3,17-Jul-12,Fish,CMM,3,94,8.8,Whole,NA,NA,5.62,-31.85,-164.6,No
F-1260,2012,Ward,All,B,NA,3,17-Jul-12,Fish,DAC,2,59,1.6,Whole,NA,NA,6.2,-30.48,-161.7,No
F-1262,2012,Ward,All,B,NA,3,17-Jul-12,Fish,DAC,2,58,1.8,Whole,NA,NA,5.75,-29.62,-163.1,No
F-1268,2012,Ward,All,C,NA,3,17-Jul-12,Fish,FHM,2,49,1.1,Whole,NA,NA,3.83,-35.34,-188.9,No
F-1270,2012,Ward,All,C,NA,3,17-Jul-12,Fish,FHM,2,49,1,Whole,NA,NA,3.32,-33.49,-166.9,No
F-1272,2012,Ward,All,C,NA,3,17-Jul-12,Fish,FHM,2,81,5.7,Whole,NA,NA,3.87,-35.16,-188.5,No
F-1273,2012,Ward,All,C,NA,3,17-Jul-12,Fish,FHM,NA,NA,NA,Guts,NA,F-1272,3.21,-38.19,-227,No
F-1274,2012,Ward,All,C,NA,3,17-Jul-12,Fish,FHM,2,50,1.2,Whole,NA,NA,3.31,-33.68,-165.6,No
F-1280,2012,Ward,All,C,NA,3,17-Jul-12,Fish,CMM,2,43,0.9,Whole,NA,NA,3.39,-33.04,-149.8,No
F-1288,2012,Ward,All,C,NA,3,17-Jul-12,Fish,BHD2,3,114,17.8,Whole,NA,NA,4.69,-31.72,-164.8,No
F-1290,2012,Ward,All,C,NA,3,17-Jul-12,Fish,BHD2,3,103,14,Whole,NA,NA,4.38,-32.19,-170.9,No
F-1292,2012,Ward,All,C,NA,3,17-Jul-12,Fish,BHD2,3,93,10.4,Whole,NA,NA,3.91,-33.35,-177,No
F-1300,2012,Ward,All,C,NA,3,18-Jul-12,Fish,DAC,2,58,1.8,Whole,NA,NA,5.33,-32.77,-186.3,No
F-1302,2012,Ward,All,C,NA,3,18-Jul-12,Fish,DAC,2,49,1.2,Whole,NA,NA,3.64,-23.98,-164.8,No
F-1312,2012,Ward,All,A,NA,3,18-Jul-12,Fish,DAC,2,46,0.8,Whole,NA,NA,2.91,-33.44,-162.5,No
F-1316,2012,Ward,All,A,NA,3,18-Jul-12,Fish,CMM,3,94,7.3,Whole,NA,NA,4.65,-32.01,-150.1,No
