SampleID,Year,Lake,Habitat,Site,Depth,Week,Date,Type,Taxon,Trophic,Length,Weight,Tissue,GutID,FishID,d15N,d13C,dD,AnalayzedForBatt2012,Notes
F-1035,2010,Ward,All,E,NA,2,24-Jun-10,Fish,DAC,,61,3.802,Whole,G-0758,NA,NA,NA,-190.7,No,
F-1036,2010,Ward,All,E,NA,2,24-Jun-10,Fish,DAC,,66,2.597,Whole,G-0759,NA,NA,NA,-192.2,No,
F-1037,2010,Ward,All,E,NA,2,24-Jun-10,Fish,DAC,,58,1.975,Whole,G-0760,NA,NA,NA,-188.1,No,
F-1042,2010,Ward,All,A,NA,3,21-Jul-10,Fish,CMM,,59,2.196,Whole,G-0745,NA,NA,NA,-151.8,No,
F-1043,2010,Ward,All,A,NA,3,21-Jul-10,Fish,CMM,,77,5.148,Whole,G-0746,NA,NA,NA,-142.7,No,
F-1044,2010,Ward,All,A,NA,3,21-Jul-10,Fish,CMM,,69,4.218,Whole,G-0767,NA,NA,NA,-158.9,No,
F-1045,2010,Ward,All,E,NA,3,21-Jul-10,Fish,CMM,,59,2.3,Whole,G-0802,NA,NA,NA,-167.2,No,
F-1046,2010,Ward,All,E,NA,3,21-Jul-10,Fish,CMM,,64,3.1,Whole,G-0803,NA,NA,NA,-143.1,No,
F-1054,2010,Ward,All,X,NA,3,21-Jul-10,Fish,BHD,,180,70.85,Whole,G-0777,NA,NA,NA,-169.8,No,
F-1055,2010,Ward,All,B,NA,3,22-Jul-10,Fish,CMM,,93,10.65,Whole,G-0787,NA,NA,NA,-161.4,No,
F-1065,2010,Ward,All,B,NA,4,18-Aug-10,Fish,BHD,,64,4,Whole,G-0779,NA,NA,NA,-159.1,No,
F-1071,2010,Ward,All,B,NA,4,18-Aug-10,Fish,BHD,,60,3,Whole,G-0794,NA,NA,NA,-156.6,No,
F-1072,2010,Ward,All,B,NA,4,18-Aug-10,Fish,BHD,,51,1.9,Whole,G-0795,NA,NA,NA,-168,No,
F-1073,2010,Ward,All,B,NA,4,18-Aug-10,Fish,BHD,,55,2.3,Whole,G-0796,NA,NA,NA,-165.9,No,
F-1074,2010,Ward,All,B,NA,4,18-Aug-10,Fish,BHD,,52,2.2,Whole,G-0797,NA,NA,NA,-180.5,No,
F-1081,2010,Ward,All,E,NA,4,18-Aug-10,Fish,BHD,,61,3.1,Whole,G-0804,NA,NA,NA,-169,No,
F-1083,2010,Ward,All,X,NA,4,18-Aug-10,Fish,CMM,,86,6.8,Whole,G-0771,NA,NA,NA,-134.4,No,
F-1084,2010,Ward,All,X,NA,4,18-Aug-10,Fish,BHD,,63,3.8,Whole,G-0744,NA,NA,NA,-158.4,No,
F-1095,2012,Ward,All,C,NA,2,20-Jun-12,Fish,DAC,,57,1.7,Whole,NA,NA,NA,NA,-184.5,No,
F-1123,2012,Ward,All,C,NA,2,20-Jun-12,Fish,FHM,,81,6.3,Whole,NA,NA,NA,NA,-207.4,No,
