Lake,Year,Date,DoY,Depth,Temp,DO
Ward,2012,2012-07-19,201,2,16.9,0.35
Ward,2012,2012-07-19,201,2.5,13.2,0.30
Ward,2012,2012-07-19,201,3,10.3,0.28
Ward,2012,2012-07-19,201,3.5,8.6,0.26
Ward,2012,2012-07-19,201,4,7.7,0.25
Ward,2012,2012-07-19,201,4.5,6.8,0.24
Ward,2012,2012-07-19,201,5,6.4,0.23
Ward,2012,2012-07-19,201,5.5,6.2,0.22
Ward,2012,2012-07-19,201,6,6,0.22
Ward,2012,2012-07-19,201,6.5,5.9,0.22
Ward,2012,2012-07-19,201,7,5.8,0.21
Ward,2012,2012-07-26,208,0,24.3,6.25
Ward,2012,2012-07-26,208,0.5,24.2,6.02
Ward,2012,2012-07-26,208,1,24.2,6.03
Ward,2012,2012-07-26,208,1.5,22.3,0.42
Ward,2012,2012-07-26,208,2,17.5,0.33
Ward,2012,2012-07-26,208,2.5,13.7,0.31
Ward,2012,2012-07-26,208,3,10.5,0.28
Ward,2012,2012-07-26,208,3.5,8.5,0.22
Ward,2012,2012-07-26,208,4,7.6,0.22
Ward,2012,2012-07-26,208,4.5,6.8,0.21
Ward,2012,2012-07-26,208,5,6.4,0.20
Ward,2012,2012-07-26,208,5.5,6.1,0.20
Ward,2012,2012-07-26,208,6,6,0.20
Ward,2012,2012-07-26,208,6.5,5.9,0.20
Ward,2012,2012-07-26,208,7,5.8,0.19
Ward,2012,2012-08-02,215,0,25.1,7.47
Ward,2012,2012-08-02,215,0.5,24.8,7.58
Ward,2012,2012-08-02,215,1,24,5.99
Ward,2012,2012-08-02,215,1.5,21.2,0.67
Ward,2012,2012-08-02,215,2,18.1,0.38
Ward,2012,2012-08-02,215,2.5,13.7,0.29
Ward,2012,2012-08-02,215,3,10.6,0.28
Ward,2012,2012-08-02,215,3.5,8.4,0.24
Ward,2012,2012-08-02,215,4,7.3,0.24
Ward,2012,2012-08-02,215,4.5,6.8,0.23
Ward,2012,2012-08-02,215,5,6.4,0.22
Ward,2012,2012-08-02,215,5.5,6.1,0.22
Ward,2012,2012-08-02,215,6,6,0.21
Ward,2012,2012-08-02,215,6.5,5.9,0.21
Ward,2012,2012-08-02,215,7,5.8,0.21
Ward,2012,2012-08-09,222,0,21.3,5.24
Ward,2012,2012-08-09,222,0.5,21.2,5.19
Ward,2012,2012-08-09,222,1,21.1,5.21
Ward,2012,2012-08-09,222,1.5,20.9,4.43
Ward,2012,2012-08-09,222,2,18,0.38
Ward,2012,2012-08-09,222,2.5,13.7,0.33
Ward,2012,2012-08-09,222,3,10.9,0.29
Ward,2012,2012-08-09,222,3.5,8.8,0.28
Ward,2012,2012-08-09,222,4,7.6,0.25
Ward,2012,2012-08-09,222,4.5,7.2,0.25
Ward,2012,2012-08-09,222,5,6.6,0.24
Ward,2012,2012-08-09,222,5.5,6.2,0.23
Ward,2012,2012-08-09,222,6,6.1,0.23
Ward,2012,2012-08-09,222,6.5,5.9,0.23
Ward,2012,2012-08-16,229,0,21.1,6.76
Ward,2012,2012-08-16,229,0.5,21.2,6.72
Ward,2012,2012-08-16,229,1,21.2,6.57
Ward,2012,2012-08-16,229,1.5,20.2,1.96
Ward,2012,2012-08-16,229,2,18.2,0.85
Ward,2012,2012-08-16,229,2.5,14.5,0.43
Ward,2012,2012-08-16,229,3,11.4,0.38
Ward,2012,2012-08-16,229,3.5,9.4,0.34
Ward,2012,2012-08-16,229,4,8.1,0.32
Ward,2012,2012-08-16,229,4.5,7.1,0.31
Ward,2012,2012-08-16,229,5,6.7,0.30
Ward,2012,2012-08-16,229,5.5,6.4,0.30
Ward,2012,2012-08-16,229,6,6.2,0.28
Ward,2012,2012-08-16,229,6.5,6.1,0.28
Ward,2012,2012-08-16,229,7,6,0.27
Ward,2012,2012-08-23,236,0,21.1,7.75
Ward,2012,2012-08-23,236,0.5,21,7.73
Ward,2012,2012-08-23,236,1,20.4,7.29
Ward,2012,2012-08-23,236,1.5,19.4,5.95
Ward,2012,2012-08-23,236,2,17.7,0.94
Ward,2012,2012-08-23,236,2.5,14.7,0.38
Ward,2012,2012-08-23,236,3,11.6,0.37
Ward,2012,2012-08-23,236,3.5,9.6,0.33
Ward,2012,2012-08-23,236,4,8,0.30
Ward,2012,2012-08-23,236,4.5,7.4,0.29
Ward,2012,2012-08-23,236,5,6.8,0.28
Ward,2012,2012-08-23,236,5.5,6.5,0.28
Ward,2012,2012-08-23,236,6,6.3,0.27
Ward,2012,2012-08-23,236,6.5,6.2,0.26
Ward,2012,2012-08-23,236,7,6.1,0.26
Ward,2012,2012-08-28,241,0,23.3,7.79
Ward,2012,2012-08-28,241,0.5,22.1,7.36
Ward,2012,2012-08-28,241,1,21.7,7.36
Ward,2012,2012-08-28,241,1.5,20.1,5.91
Ward,2012,2012-08-28,241,2,17.5,0.65
Ward,2012,2012-08-28,241,2.5,14.6,0.38
