"datetime" "do.obs" "do.sat" "wtr" "z.mix" "baro" "z1perc" "irr" "wnd" "top" "k600.cole" "k.gas"
2010-07-03 15:55:00 9.26866192497682 8.06348543831752 25.15 0.5 959.999989774093 3.8 426.2 4.01010786397123 0.5 1.04383484914541 1.25459216909837
2010-07-03 16:00:00 9.30967026531228 8.0385901067549 25.4 0.5 959.999989774093 3.8 1718.7 4.01010786397123 0.5 1.04383484914541 1.26188896540443
2010-07-03 16:05:00 9.17740025084554 8.08474574873294 24.94 0.5 959.999989774093 3.8 1453.7 4.49386690787887 0.5 1.16070211455139 1.38826610829707
2010-07-03 16:10:00 9.33664911481321 8.098067593106 24.81 0.5 959.999989774093 3.8 1588.7 3.06805077846688 0.5 0.843789253911501 1.00617295432259
2010-07-03 16:15:00 9.42631385101174 8.09909746631965 24.8 0.5 959.999989774093 3.8 1451.2 2.36787321491635 0.5 0.720187597769578 0.858584828371237
2010-07-03 16:20:00 9.31593490042063 8.10425782551661 24.75 0.5 959.999989774093 3.8 1536.2 2.5970222357147 0.5 0.758171564448111 0.902816642042379
2010-07-03 16:25:00 9.24691442734908 8.07965476000837 24.99 0.5 959.999989774093 3.8 1421.2 3.78095884317288 0.5 0.991763320559345 1.18758515527978
2010-07-03 16:30:00 9.27770118929285 8.05947201329074 25.19 0.5 959.999989774093 3.8 1393.7 4.25198738592505 0.5 1.10110480340118 1.32465467749958
2010-07-03 16:35:00 9.15907663478293 8.02386731283863 25.55 0.5 959.999989774093 3.8 1343.7 4.72301592867723 0.5 1.21927479272145 1.47910943602803
2010-07-03 16:40:00 9.31939290272216 8.014140815942 25.65 0.5 959.999989774093 3.8 1396.2 2.36787321491635 0.5 0.720187597769578 0.875689074819097
2010-07-03 16:45:00 9.3190675799893 8.01802292503197 25.61 0.5 959.999989774093 3.8 1313.7 3.53907932121906 0.5 0.939147121780857 1.14086892969833
2010-07-03 16:50:00 9.31915475234718 8.0131720545877 25.66 0.5 959.999989774093 3.8 1281.2 3.78095884317288 0.5 0.991763320559345 1.20618206481292
2010-07-03 16:55:00 9.31923731392374 8.00544734612377 25.74 0.5 959.999989774093 3.8 1211.2 4.01010786397123 0.5 1.04383484914541 1.27186406106546
2010-07-03 17:00:00 9.40808492576021 8.02679907529673 25.52 0.5 959.999989774093 3.8 1186.2 3.06805077846688 0.5 0.843789253911501 1.02289469996346
2010-07-03 17:05:00 9.30886216828592 8.00737429704071 25.72 0.5 959.999989774093 3.8 1133.7 3.53907932121906 0.5 0.939147121780857 1.1437774845398
2010-07-03 17:10:00 9.33936097965118 7.99394464022125 25.86 0.5 959.999989774093 3.8 1101.2 3.06805077846688 0.5 0.843789253911501 1.03097583869151
