"datetime" "wtr" "SpCond" "pH" "DOsat" "do.obs" "Chl_conc" "z.mix" "irr" "wnd" "do.sat" "k600.cole" "k.gas"
2012-06-15 23:50:00 21.27 0.015 6.7 96.2 8.54 3.8 1.97536115951185 1.2 0.24187952195382 8.51091705892047 0.501421342690693 0.549749980251279
2012-06-15 23:55:00 21.28 0.015 6.71 96.6 8.57 1.3 1.96853656209455 1.2 0.24187952195382 8.50960687867957 0.501421342690693 0.549883450733059
2012-06-16 00:00:00 21.28 0.015 6.71 96.3 8.54 3.1 1.96853656209455 1.2 0.712908064705997 8.50960687867957 0.525827303824376 0.576648235125025
2012-06-16 00:05:00 21.28 0.015 6.72 96.2 8.53 2.8 1.9565330809816 1.2 0 8.50960687867957 0.4968 0.544815457711178
2012-06-16 00:10:00 21.29 0.015 6.72 96.1 8.52 2.3 1.95386436612391 1.2 0.24187952195382 8.50829755971903 0.501421342690693 0.550016934311267
2012-06-16 00:15:00 21.29 0.015 6.73 96 8.51 3 1.95386436612391 1.2 0 8.50829755971903 0.4968 0.544947711039881
2012-06-16 00:20:00 21.32 0.015 6.73 96.1 8.52 1.6 1.97536115951185 1.2 0 8.50437476636382 0.4968 0.545344548937162
2012-06-16 00:25:00 21.33 0.015 6.74 96.1 8.51 2.7 1.97536115951185 1.2 0 8.50306888837045 0.4968 0.545476854225976
2012-06-16 00:30:00 21.34 0.015 6.74 95.9 8.49 2.4 1.95386436612391 1.2 0 8.50176386958184 0.4968 0.545609172519512
2012-06-16 00:35:00 21.31 0.015 6.74 95.8 8.49 2 1.97536115951185 1.2 0.24187952195382 8.50568150397644 0.501421342690693 0.550283940779828
2012-06-16 00:40:00 21.28 0.015 6.74 95.7 8.49 3.4 1.92413891598441 1.2 0.24187952195382 8.50960687867957 0.501421342690693 0.549883450733059
2012-06-16 00:45:00 21.29 0.015 6.73 95.5 8.47 2.8 1.97536115951185 1.2 0 8.50829755971903 0.4968 0.544947711039881
2012-06-16 00:50:00 21.33 0.015 6.72 96.1 8.51 2 1.97536115951185 1.2 0 8.50306888837045 0.4968 0.545476854225976
2012-06-16 00:55:00 21.34 0.015 6.73 96.4 8.54 2 1.97536115951185 1.2 0 8.50176386958184 0.4968 0.545609172519512
2012-06-16 01:00:00 21.35 0.015 6.73 96.5 8.54 2.6 1.97536115951185 1.2 0 8.50045970958377 0.4968 0.545741503823804
2012-06-16 01:05:00 21.36 0.015 6.74 96.6 8.55 1.7 1.97536115951185 1.2 0 8.49915640796235 0.4968 0.545873848144964
2012-06-16 01:10:00 21.34 0.015 6.74 96.5 8.55 1.5 1.95386436612391 1.2 0 8.50176386958184 0.4968 0.545609172519512
2012-06-16 01:15:00 21.31 0.015 6.74 96.9 8.59 2.5 1.97976371201717 1.2 0 8.50568150397644 0.4968 0.545212256647113
2012-06-16 01:20:00 21.31 0.015 6.74 96.7 8.57 1.8 1.97536115951185 1.2 0 8.50568150397644 0.4968 0.545212256647113
2012-06-16 01:25:00 21.28 0.015 6.73 96.3 8.54 1.9 1.97976371201717 1.2 0 8.50960687867957 0.4968 0.544815457711178
2012-06-16 01:30:00 21.26 0.015 6.73 96.2 8.53 2.1 1.96145099906804 1.2 0 8.5122281008578 0.4968 0.544550989975378
2012-06-16 01:35:00 21.25 0.015 6.72 96.4 8.55 1.8 1.97976371201717 1.2 0 8.51354000490792 0.4968 0.544418775557226
2012-06-16 01:40:00 21.26 0.015 6.72 96 8.52 2.5 1.97976371201717 1.2 0 8.5122281008578 0.4968 0.544550989975378
2012-06-16 01:45:00 21.27 0.015 6.73 96 8.52 1.9 1.96145099906804 1.2 0 8.51091705892047 0.4968 0.544683217358199
2012-06-16 01:50:00 21.31 0.015 6.72 96.2 8.52 2 1.96145099906804 1.2 0 8.50568150397644 0.4968 0.545212256647113
2012-06-16 01:55:00 21.35 0.015 6.72 96.2 8.52 2.1 1.96145099906804 1.2 0 8.50045970958377 0.4968 0.545741503823804
2012-06-16 02:00:00 21.31 0.015 6.73 96.4 8.54 3.1 1.97536115951185 1.2 0 8.50568150397644 0.4968 0.545212256647113
2012-06-16 02:05:00 21.32 0.015 6.74 96.8 8.58 3.1 1.97536115951185 1.2 0 8.50437476636382 0.4968 0.545344548937162
2012-06-16 02:10:00 21.29 0.015 6.73 96.6 8.56 2.3 1.97976371201717 1.2 0 8.50829755971903 0.4968 0.544947711039881
2012-06-16 02:15:00 21.26 0.015 6.73 96.6 8.57 2.4 1.95386436612391 1.2 0 8.5122281008578 0.4968 0.544550989975378
2012-06-16 02:20:00 21.28 0.015 6.73 96.4 8.55 2 1.95386436612391 1.2 0 8.50960687867957 0.4968 0.544815457711178
2012-06-16 02:25:00 21.25 0.015 6.73 96.6 8.57 3.2 1.97536115951185 1.2 0 8.51354000490792 0.4968 0.544418775557226
2012-06-16 02:30:00 21.27 0.015 6.72 96.4 8.55 2.6 1.97536115951185 1.2 0 8.51091705892047 0.4968 0.544683217358199
2012-06-16 02:35:00 21.27 0.015 6.71 96.7 8.57 1.8 1.95386436612391 1.2 0 8.51091705892047 0.4968 0.544683217358199
2012-06-16 02:40:00 21.28 0.015 6.72 96.5 8.55 1 1.97976371201717 1.2 0 8.50960687867957 0.4968 0.544815457711178
2012-06-16 02:45:00 21.29 0.015 6.71 96.6 8.57 1.9 1.96145099906804 1.2 0 8.50829755971903 0.4968 0.544947711039881
2012-06-16 02:50:00 21.29 0.015 6.71 96.6 8.56 2.9 1.95386436612391 1.2 0 8.50829755971903 0.4968 0.544947711039881
