"datetime" "do.obs" "do.sat" "k.gas" "z.mix" "irr" "wtr" "wnd"
2010-06-03 09:00:00 8.80523596777773 8.46658401632294 0.620065706220555 1.5 1178.7 21.27 1.18393660745817
2010-06-03 09:05:00 8.80515254197322 8.46528066076098 0.576648235125025 1.5 1206.2 21.28 0.712908064705997
2010-06-03 09:10:00 8.84510609865046 8.46137573318507 0.596376316644595 1.5 1231.2 21.31 0.942057085504353
2010-06-03 09:15:00 8.87497644300525 8.45618113892038 0.596955229678889 1.5 1261.2 21.35 0.942057085504353
2010-06-03 09:20:00 8.87487470472153 8.45618113892038 0.621270456291361 1.5 1286.2 21.35 1.18393660745817
2010-06-03 09:25:00 8.89479148464955 8.45488462614744 0.679380053768247 1.5 1311.2 21.36 1.65496515021035
2010-06-03 09:30:00 8.8947268226752 8.45229416067236 0.621722481884208 1.5 1336.2 21.38 1.18393660745817
2010-06-03 09:35:00 8.92456057440517 8.44970710588569 0.578328911716138 1.5 1361.2 21.4 0.712908064705997
2010-06-03 09:40:00 8.84449605813885 8.44712345850451 0.562457826685065 1.5 1386.2 21.42 0.471028542752177
2010-06-03 09:45:00 8.85441302978211 8.44583291156642 0.598113739637775 1.5 428.7 21.43 0.942057085504353
2010-06-03 09:50:00 8.93433003439699 8.44454321525082 0.622626933945598 1.5 1433.7 21.44 1.18393660745817
2010-06-03 09:55:00 8.95420134547995 8.43939292803807 0.598838272720096 1.5 1473.7 21.48 0.942057085504353
2010-06-03 10:00:00 8.94411847530585 8.43810747870613 0.681522790478034 1.5 1493.7 21.49 1.65496515021035
2010-06-03 10:05:00 8.97407286778567 8.43425621812042 0.650447304365711 1.5 1521.2 21.52 1.41308562825653
2010-06-03 10:10:00 8.95399008970403 8.43297415903899 0.623984617338601 1.5 1588.7 21.53 1.18393660745817
2010-06-03 10:15:00 8.96378732326201 8.43297415903899 0.715246515173394 1.5 1593.7 21.53 1.88411417100871
2010-06-03 10:20:00 8.963685940041 8.43297415903899 0.836500239732549 1.5 1678.7 21.53 2.5970222357147
2010-06-03 10:25:00 8.94360325376794 8.43169294650375 0.836702571062357 1.5 1711.2 21.54 2.5970222357147
2010-06-03 10:30:00 8.94348317359898 8.43297415903899 0.836500239732549 1.5 1768.7 21.53 2.5970222357147
2010-06-03 10:35:00 8.9833553916207 8.42785438411714 0.682842767165131 1.5 1761.2 21.57 1.65496515021035
2010-06-03 10:40:00 9.00325408699976 8.42785438411714 0.682842767165131 1.5 1806.2 21.57 1.65496515021035
2010-06-03 10:45:00 8.99324656216814 8.42147367323255 0.838321945067981 1.5 1836.2 21.62 2.5970222357147
2010-06-03 10:50:00 8.98314535564321 8.42147367323255 0.754978711895388 1.5 1886.2 21.62 2.12599369296253
2010-06-03 10:55:00 8.9829805263477 8.41892729202912 0.88598670641404 1.5 1783.7 21.64 2.83890175766852
2010-06-03 11:00:00 8.97291695575822 8.41638427921445 0.755708337913465 1.5 1858.7 21.66 2.12599369296253
2010-06-03 11:05:00 9.01285343729629 8.41384463156844 0.684659449299606 1.5 1868.7 21.68 1.65496515021035
2010-06-03 11:10:00 9.02282756738619 8.40877541892584 0.718536510020023 1.5 1898.7 21.72 1.88411417100871
2010-06-03 11:15:00 9.01275720083533 8.39993657845974 0.627913644403388 1.5 1906.2 21.79 1.18393660745817
2010-06-03 11:20:00 9.03265632656234 8.39993657845974 0.758081638294484 1.5 1956.2 21.79 2.12599369296253
2010-06-03 11:25:00 9.03255545228934 8.39993657845974 0.719750188562166 1.5 1941.2 21.79 1.88411417100871
2010-06-03 11:30:00 9.02249225187868 8.39741872624924 0.686809013853424 1.5 1968.7 21.81 1.65496515021035
2010-06-03 11:35:00 9.0724225063214 8.38863253436848 0.687967636240828 1.5 2013.7 21.88 1.65496515021035
2010-06-03 11:40:00 9.05243474765784 8.38113398603556 0.722353812082249 1.5 2038.7 21.94 1.88411417100871
2010-06-03 11:45:00 9.07237179838616 8.37864111530268 0.761189874654199 1.5 2056.2 21.96 2.12599369296253
2010-06-03 11:50:00 9.06221473629348 8.38238166642463 0.656911616862829 1.5 2046.2 21.93 1.41308562825653
2010-06-03 11:55:00 9.09203241672035 8.38113398603556 0.844812416642165 1.5 2051.2 21.94 2.5970222357147
2010-06-03 12:00:00 9.09193183398597 8.38113398603556 0.802487792258889 1.5 2071.2 21.94 2.36787321491635
2010-06-03 12:05:00 9.10175551810252 8.38612969241227 0.992497269417757 1.5 2136.2 21.9 3.3099303004207
2010-06-03 12:10:00 9.0917117256777 8.38238166642463 0.80229482526284 1.5 2198.7 21.93 2.36787321491635
2010-06-03 12:15:00 9.08173786787824 8.36746420492517 0.996082029206454 1.5 2301.2 22.05 3.3099303004207
2010-06-03 12:20:00 9.10178869356671 8.35758533893928 0.764303492215161 1.5 2346.2 22.13 2.12599369296253
2010-06-03 12:25:00 9.09166958206266 8.35881731360383 0.848472562294992 1.5 633.7 22.12 2.5970222357147
2010-06-03 12:30:00 9.13153149730124 8.36128373262965 0.848065545997751 1.5 721.2 22.1 2.5970222357147
2010-06-03 12:35:00 9.08138783109148 8.35758533893928 0.692112306685926 1.5 616.2 22.13 1.65496515021035
2010-06-03 12:40:00 9.10132554170958 8.35512385736408 0.633370868235171 1.5 1008.7 22.15 1.18393660745817
2010-06-03 12:45:00 9.08126330316126 8.35266566354032 0.633674637327021 1.5 2141.2 22.17 1.18393660745817
2010-06-03 12:50:00 9.08125799269381 8.34653454255809 0.60960390199939 1.5 2183.7 22.22 0.942057085504353
2010-06-03 12:55:00 9.06119066151784 8.3379853700741 0.590857033167383 1.5 2216.2 22.29 0.712908064705997
2010-06-03 13:00:00 9.12107178875086 8.33920422774606 0.635346494155181 1.5 2221.2 22.28 1.18393660745817
