"datetime" "do.obs" "do.sat" "kgas.cole" "kgas.read" "z.mix" "irr" "wtr" "wnd"
2010-05-22 17:55:00 9.06201457797532 8.7025611868902 0.64691731336492 0.846208705790286 0.839540023377768 533.7 19.37 1.65496515021035
2010-05-22 18:00:00 9.08411169433237 8.6981559710887 0.933525794354487 1.58651471442139 0.756117526505401 736.2 19.4 3.3099303004207
2010-05-22 18:05:00 9.17607417815041 8.6981559710887 0.838582927110981 1.3797607723076 0.818701685935051 721.2 19.4 2.83890175766852
2010-05-22 18:10:00 9.1300110006352 8.6981559710887 0.883498725644464 1.48536384687341 0.755132303768195 476.2 19.4 3.06805077846688
2010-05-22 18:15:00 9.11709657109714 8.69522384781763 0.933991830992459 1.59879027663353 1.06497760668999 598.7 19.42 3.3099303004207
2010-05-22 18:20:00 9.09864625734174 8.69522384781763 0.933991830992459 1.60199010052572 1.06497760668999 433.7 19.42 3.3099303004207
2010-05-22 18:25:00 9.08019503390334 8.69522384781763 0 0 0.5 606.2 19.42 3.06805077846688
2010-05-22 18:30:00 9.09116177749089 8.69668944104309 0 0 0.5 428.7 19.41 3.3099303004207
2010-05-22 18:35:00 9.08017850036634 8.68790991741988 0 0 0.5 368.7 19.47 3.06805077846688
2010-05-22 18:40:00 9.08012407514549 8.68790991741988 0 0 0.5 348.7 19.47 2.5970222357147
2010-05-22 18:45:00 9.13883136900953 8.6981559710887 0 0 0.5 248.7 19.4 2.5970222357147
2010-05-22 18:50:00 9.09094453952084 8.69668944104309 0 0 0.5 296.2 19.41 2.36787321491635
2010-05-22 18:55:00 9.07431047272204 8.6981559710887 0 0 0.5 188.7 19.4 2.5970222357147
2010-05-22 19:00:00 9.05209856762723 8.7025611868902 0 0 0.5 138.7 19.37 2.83890175766852
2010-05-22 19:05:00 9.07217548372524 8.71235480826712 0 0 0.5 136.2 19.31 2.5970222357147
2010-05-22 19:10:00 9.12926503941045 8.71478888871467 0 0 0.5 123.7 19.3 1.88411417100871
2010-05-22 19:15:00 9.1365946614619 8.71427047126756 0 0 0.5 118.7 19.31 1.18393660745817
2010-05-22 19:20:00 9.14211783695751 8.70491863727737 0 0 0.5 111.2 19.38 2.12599369296253
2010-05-22 19:25:00 9.09611373585507 8.69853865193111 0 0 0.5 108.7 19.43 1.88411417100871
